"Allowed Payment Methods","Erlaubte Zahlungsarten"
"An error occured during check.","Ein Fehler ist während der Überprüfung aufgetreten."
"Authentication ID","Authentifizierungs-ID"
"Authentication Password","Authentifizierungs-Passwort"
"Autorized","Autorisiert"
"creditPass answer details:","creditPass Antwortdetails:"
"creditPass answer text:","creditPass Antworttext:"
"creditPass Settings","creditPass Einstellungen"
"Custom error message which is shown to the customer if creditPass returns a negative answer and the customer is forced to select another payment method again.","Benutzerdefinierte Fehlermeldung, die dem Kunden angezeigt wird, falls creditPass eine negative Antwort zurückliefert und der Kunde gezwungen wird, eine andere Zahlungsart auszuwählen"
"Customer has not been checked because he is member of a trusted group.","Kundw wurde nicht überprüft, da er ein Mitglied in einer vertrauenswürdigen Gruppe ist."
"Customers in the selected groups will be excluded from creditPass check.","Kunden in den ausgewählten Gruppen werden aus der creditPass-Überprüfung herausgenommen."
"Enabled","Aktiviert"
"Enable Group Filtering","Gruppenfilterung aktivieren"
"Enables creditPass check in the shopping cart.","Aktiviert creditPass-Überprüfung im Einkaufskorb."
"Error Message","Fehlermeldung"
"Handle Error As Positive Check","Fehler als positive Überprüfung behandeln"
"If set to Test Mode the creditPass response depends on last digit of total sum in the cart. (See creditPass documentation for details.)","Wenn der Testmodus eingestellt ist, dann hängt die Antwort von creditPass von der letzten Ziffer der Gesamtsumme im Warenkorb ab. (Siehe creditPass-Dokumentation für Details.)"
"If set to Yes, an error from creditPass will be handeled as if creditPass has validated the customer.","Wenn Ja ausgewählt ist, wird ein creditPass-Fehler als positive Überprüfung des Kundens behandelt."
"If set to Yes, XML request and response will be shown in the creditPass comment.","Wenn Ja ausgewählt ist, werden die XML-Anfragen und -Antworten im creditPass-Kommentar angezeigt."
"Live Mode","Live-Modus"
"Manual check is needed.","Manuelle Überprüfung ist notwendig."
"Not autorized","Nicht autorisiert"
"Payment methods that are allways allowed to the customer even if creditPass returns a negative answer. Select the methods by clicking on them in the list while holding the CTRL button.","Zahlungsarten, die dem Kunden immer erlaubt werden sollten, sogar wenn creditPass eine negative Antwort zurückliefert. Wählen Sie die Zahlungsarten aus, indem Sie auf diese in der Liste klicken, während Sie die STRG-Taste gedrückt halten."
"Show XML Communication In creditPass Comment","XML-Kommunikation im creditPass-Kommentar anzeigen"
"Test Mode","Test-Modus"
"The selected payment type is currently not available. Please select another one.","Die gewählte Zahlungsart steht derzeit leider nicht zur Verfügung. Bitte wählen Sie eine andere Zahlungsart."
"Trustful User Groups","Vertrauenswürdige Benutzergruppen"
"XML request:","XML-Anfrage:"
"XML response:","XML-Antwort:"
"creditPass notification for order #%s","creditPass Benachrichtigung für Bestellung #%s"
"Manual checking for order #%s required.","Manuelle Prüfung für Bestellung #%s notwendig."