"Allowed Payment Methods","Allowed Payment Methods"
"An error occured during check.","An error occured during check."
"Authentication ID","Authentication ID"
"Authentication Password","Authentication Password"
"Autorized","Autorized"
"creditPass answer details:","creditPass answer details:"
"creditPass answer text:","creditPass answer text:"
"creditPass Settings","creditPass Settings"
"Custom error message which is shown to the customer if creditPass returns a negative answer and the customer is forced to select another payment method again.","Custom error message which is shown to the customer if creditPass returns a negative answer and the customer is forced to select another payment method again."
"Customer has not been checked because he is member of a trusted group.","Customer has not been checked because he is member of a trusted group."
"Customers in the selected groups will be excluded from creditPass check.","Customers in the selected groups will be excluded from creditPass check."
"Enabled","Enabled"
"Enable Group Filtering","Enable Group Filtering"
"Enables creditPass check in the shopping cart.","Enables creditPass check in the shopping cart."
"Error Message","Error Message"
"Handle Error As Positive Check","Handle Error As Positive Check"
"If set to Test Mode the creditPass response depends on last digit of total sum in the cart. (See creditPass documentation for details.)","If set to Test Mode the creditPass response depends on last digit of total sum in the cart. (See creditPass documentation for details.)"
"If set to Yes, an error from creditPass will be handeled as if creditPass has validated the customer.","If set to Yes, an error from creditPass will be handeled as if creditPass has validated the customer."
"If set to Yes, XML request and response will be shown in the creditPass comment.","If set to Yes, XML request and response will be shown in the creditPass comment."
"Live Mode","Live Mode"
"Manual check is needed.","Manual check is needed."
"Not autorized","Not autorized"
"Payment methods that are allways allowed to the customer even if creditPass returns a negative answer. Select the methods by clicking on them in the list while holding the CTRL button.","Payment methods that are allways allowed to the customer even if creditPass returns a negative answer. Select the methods by clicking on them in the list while holding the CTRL button."
"Show XML Communication In creditPass Comment","Show XML Communication In creditPass Comment"
"Test Mode","Test Mode"
"The selected payment type is currently not available. Please select another one.","The selected payment type is currently not available. Please select another one."
"Trustful User Groups","Trustful User Groups"
"XML request:","XML request:"
"XML response:","XML response:"
"creditPass notification for order #%s","creditPass notification for order #%s"
"Manual checking for order #%s required.","Manual checking for order #%s required."